id,datetime,total,street,city,state,zip,user_id,promo_code_id
42,2021-04-13 20:58:08,630.1400000000001,22737 Grover Crossing,New York City,New York,10155,169,
43,2021-04-14 13:33:02,1003.93062,85609 Springview Junction,Spokane,Washington,99220,152,183
44,2021-04-14 17:57:22,129.8,5922 Dwight Avenue,Wichita,Kansas,67230,378,
45,2021-04-14 20:31:38,1946.5000000000005,210 Green Park,Memphis,Tennessee,38109,261,
46,2021-04-14 21:51:19,92.4,22300 Elmside Street,Washington,District of Columbia,20337,358,
47,2021-04-14 23:21:31,580.12,645 Ronald Regan Road,Abilene,Texas,79605,370,
48,2021-04-14 23:51:24,1235.68,7778 Springview Crossing,Rochester,New York,14683,353,
49,2021-04-15 09:42:54,305.9,843 Marquette Hill,Beaumont,Texas,77705,181,
50,2021-04-15 10:32:47,637.10808,65 Glendale Drive,Palatine,Illinois,60078,148,13
51,2021-04-15 13:18:14,623.3,656 Pearson Trail,Madison,Wisconsin,53726,2,
52,2021-04-15 14:17:49,1545.66,49628 Towne Avenue,Bakersfield,California,93311,194,
53,2021-04-16 04:23:06,332.67862,86165 Butterfield Junction,Metairie,Louisiana,70033,107,200
54,2021-04-16 14:22:45,660.2400000000001,89 Barby Hill,Des Moines,Iowa,50310,326,
55,2021-04-16 18:48:59,345.94,2173 Westport Pass,Simi Valley,California,93094,256,
56,2021-04-17 08:03:37,116.32000000000001,2 Dryden Center,Fort Worth,Texas,76115,345,
57,2021-04-17 23:03:10,398.7200000000001,57 Kenwood Park,Chicago,Illinois,60630,268,
58,2021-04-18 04:25:46,651.02,65 Vernon Trail,Richmond,Virginia,23220,150,
59,2021-04-18 13:00:36,19.98,853 Little Fleur Point,Anaheim,California,92805,444,
60,2021-04-18 22:28:52,3731.4000000000005,38 Lerdahl Terrace,Santa Barbara,California,93150,158,
61,2021-04-19 11:00:43,574.44,5 6th Crossing,Sterling,Virginia,20167,426,
62,2021-04-20 03:07:22,221.76,9 Merry Crossing,Mountain View,California,94042,437,
63,2021-04-20 11:38:31,589.5800000000002,5 Knutson Court,Amarillo,Texas,79118,203,
64,2021-04-20 16:03:31,13.89216,057 Susan Way,Kansas City,Missouri,64179,279,24
65,2021-04-21 08:08:58,191.84,1423 Colorado Alley,Sandy,Utah,84093,324,
66,2021-04-21 09:42:14,3.6898400000000002,838 Express Junction,Dayton,Ohio,45454,438,195
67,2021-04-21 15:49:21,5461.279999999999,52 Valley Edge Hill,Clearwater,Florida,34629,259,
68,2021-04-22 04:13:53,699.32,077 Graceland Alley,Pensacola,Florida,32520,58,
69,2021-04-22 09:28:51,496.6600000000001,805 Warbler Junction,Vienna,Virginia,22184,201,
70,2021-04-22 13:03:11,4109.28,1 Oak Valley Crossing,San Bernardino,California,92405,277,
71,2021-04-22 17:27:08,158.48,261 Lighthouse Bay Place,Carol Stream,Illinois,60158,418,
72,2021-04-23 07:04:52,362.76000000000005,459 Old Shore Lane,Boise,Idaho,83711,141,
73,2021-04-23 09:13:47,144.42,80956 Delladonna Court,Indianapolis,Indiana,46231,425,
74,2021-04-24 01:10:59,135.0,0 Surrey Road,Greenville,South Carolina,29615,219,
75,2021-04-24 13:40:45,8728.32,7071 Lunder Park,Bradenton,Florida,34210,267,
76,2021-04-24 21:38:54,244.39288,6 Johnson Junction,Dayton,Ohio,45440,38,28
77,2021-04-25 05:49:16,606.54,63802 Red Cloud Pass,Corpus Christi,Texas,78470,249,
78,2021-04-25 10:06:14,600.08,8647 Burning Wood Pass,Pompano Beach,Florida,33075,176,
79,2021-04-25 18:21:05,71.4,9 Johnson Court,Bryan,Texas,77806,315,
80,2021-04-26 04:39:17,33.89142,46483 Dottie Hill,Houston,Texas,77085,311,182
81,2021-04-26 18:26:56,347.10489999999993,2 Westridge Road,New York City,New York,10120,34,181
82,2021-04-26 22:59:42,4866.639999999999,6588 Burrows Crossing,Boston,Massachusetts,2124,294,
83,2021-04-27 06:26:48,702.9302399999999,6 Stone Corner Parkway,Shawnee Mission,Kansas,66276,170,180
84,2021-04-27 18:40:26,900.1353200000003,41901 Prairieview Park,Huntsville,Alabama,35895,12,93
85,2021-04-28 02:07:10,427.8,03 Toban Plaza,Orlando,Florida,32885,333,
86,2021-04-28 09:33:18,1530.88,6717 Fordem Parkway,Birmingham,Alabama,35254,73,
87,2021-04-28 15:17:36,231.3857,8525 Mandrake Alley,Rockville,Maryland,20851,473,87
88,2021-04-29 01:10:41,359.96,8525 Mandrake Alley,Rockville,Maryland,20851,473,
89,2021-04-29 10:22:44,1518.5000000000002,726 Dunning Road,Amarillo,Texas,79182,124,
90,2021-04-30 01:23:56,96.96000000000001,4 Northfield Place,Louisville,Kentucky,40298,39,
91,2021-04-30 13:13:42,249.80000000000004,51 Randy Crossing,Brooklyn,New York,11220,25,
92,2021-04-30 16:49:20,350.91252000000003,1649 Hintze Crossing,Elizabeth,New Jersey,7208,42,114
93,2021-04-30 19:48:17,472.62000000000006,25 Pierstorff Place,New Orleans,Louisiana,70174,329,
94,2021-05-01 08:33:45,1210.45322,8143 Graedel Lane,Pittsburgh,Pennsylvania,15250,366,18
95,2021-05-01 12:48:56,591.76,43 Wayridge Street,Garland,Texas,75049,394,
96,2021-05-01 20:08:56,294.84000000000003,08 Eastlawn Parkway,Escondido,California,92030,480,
97,2021-05-01 22:35:10,912.96,8920 Maryland Hill,Charlotte,North Carolina,28220,240,
98,2021-05-01 23:29:01,610.52,59 Charing Cross Plaza,Colorado Springs,Colorado,80910,254,
99,2021-05-02 08:04:29,249.96234,59 Dunning Court,Chicago,Illinois,60657,443,28
100,2021-05-02 09:28:15,122.97999999999999,27 Mccormick Crossing,New York City,New York,10150,475,
101,2021-05-02 11:21:41,115.84,0 Fisk Street,Maple Plain,Minnesota,55579,427,
102,2021-05-02 23:47:45,661.3399999999999,85625 Schmedeman Place,Syracuse,New York,13217,134,
103,2021-05-03 10:14:39,99.60000000000001,59 Schurz Way,Jacksonville,Florida,32255,210,
104,2021-05-03 20:11:09,249.5,4 Coolidge Street,Baltimore,Maryland,21282,379,
105,2021-05-04 03:32:37,247.82000000000002,6839 Ridgeway Pass,Arlington,Virginia,22234,207,
106,2021-05-04 09:32:25,595.3000000000001,8674 Acker Alley,Independence,Missouri,64054,121,
107,2021-05-04 10:53:32,408.11904000000015,8 North Junction,Los Angeles,California,90040,45,36
108,2021-05-05 01:27:14,5051.1799999999985,9 Spohn Plaza,Columbus,Ohio,43220,168,
109,2021-05-05 13:17:05,259.58000000000004,312 Luster Drive,Waterloo,Iowa,50706,310,
110,2021-05-06 05:36:32,891.8402400000002,364 Meadow Ridge Street,Providence,Rhode Island,2912,153,103
111,2021-05-06 14:38:45,2797.70328,07 Marcy Avenue,Hamilton,Ohio,45020,230,137
112,2021-05-07 04:19:21,482.11999999999995,8 Transport Terrace,Fresno,California,93704,253,
113,2021-05-07 10:23:30,911.2400000000002,7736 Texas Terrace,Aurora,Colorado,80015,405,
114,2021-05-07 13:28:34,11.98,2375 Barby Center,Tyler,Texas,75799,292,
115,2021-05-08 01:02:40,782.5600000000002,17024 Menomonie Plaza,Pueblo,Colorado,81005,461,
116,2021-05-08 14:56:05,1335.7,57878 Nevada Alley,Irvine,California,92717,350,
117,2021-05-09 06:37:35,3054.1094399999993,645 Ronald Regan Road,Abilene,Texas,79605,370,28
118,2021-05-09 21:40:13,2568.44,2 Stang Alley,Charlotte,North Carolina,28256,287,
119,2021-05-10 09:07:57,47.44799999999999,977 Jenifer Lane,Houston,Texas,77228,115,31
120,2021-05-10 12:59:11,1147.44,37388 Golf Avenue,Madison,Wisconsin,53779,450,
121,2021-05-10 18:57:46,147.92000000000002,38 Lerdahl Terrace,Santa Barbara,California,93150,158,
122,2021-05-11 11:07:17,199.86,39573 Kings Center,Columbia,South Carolina,29208,104,
123,2021-05-11 16:18:35,4764.86,5093 Sunfield Court,Beaumont,Texas,77705,419,
124,2021-05-12 03:21:08,1169.6,47238 Vermont Avenue,Springfield,Illinois,62776,19,
125,2021-05-12 04:26:33,1442.2200000000003,1572 Coleman Plaza,Des Moines,Iowa,50310,388,
126,2021-05-12 12:09:06,805.9000000000001,59 Dunning Court,Chicago,Illinois,60657,443,
127,2021-05-12 18:13:43,387.08000000000004,4 Bartillon Terrace,Greensboro,North Carolina,27425,408,
128,2021-05-12 21:05:42,5.3,56985 Texas Plaza,Louisville,Kentucky,40225,70,
129,2021-05-12 22:22:59,181.84,48104 Packers Parkway,Pomona,California,91797,191,
130,2021-05-13 03:35:15,1886.649,8010 Express Trail,Roanoke,Virginia,24004,3,135
131,2021-05-13 15:19:24,549.2,6 Declaration Avenue,Phoenix,Arizona,85040,316,
132,2021-05-14 06:45:05,39.096,13 Susan Drive,Ocala,Florida,34474,77,190
133,2021-05-14 21:26:26,161.92000000000002,316 Ryan Crossing,Amarillo,Texas,79165,361,
134,2021-05-15 13:35:16,254.7,55058 Norway Maple Park,El Paso,Texas,79928,363,
135,2021-05-15 14:03:23,150.52190000000002,7071 Lunder Park,Bradenton,Florida,34210,267,43
136,2021-05-15 22:53:31,5226.240000000001,152 Erie Court,Saint Louis,Missouri,63131,393,
137,2021-05-16 08:13:15,105.56,44424 Towne Trail,El Paso,Texas,88574,195,
138,2021-05-16 18:31:29,141.93838000000005,8 Fisk Center,Bethesda,Maryland,20816,196,48
139,2021-05-16 21:41:36,59.96,2 Express Court,Tampa,Florida,33605,429,
140,2021-05-17 12:05:26,450.66294000000005,646 Carioca Road,Appleton,Wisconsin,54915,296,139
141,2021-05-18 02:49:54,2950.38,08256 2nd Way,Lansing,Michigan,48912,105,
142,2021-05-18 15:53:04,1354.3400000000001,9 Marquette Crossing,New York City,New York,10155,149,
143,2021-05-19 08:29:25,561.1999999999999,6283 Messerschmidt Park,New York City,New York,10160,93,
144,2021-05-19 11:02:07,1362.1712,4973 Nevada Road,Waco,Texas,76711,369,143
145,2021-05-19 22:06:19,3756.04,15 Lakeland Hill,Albany,New York,12210,469,
146,2021-05-19 22:26:55,668.58,26044 West Lane,Houston,Texas,77245,266,
147,2021-05-20 04:47:28,249.96,22089 Cambridge Circle,Tampa,Florida,33620,155,
148,2021-05-20 12:23:03,1040.6399999999999,2 Cascade Plaza,Salt Lake City,Utah,84199,108,
149,2021-05-20 13:17:36,308.90000000000003,63 Lerdahl Drive,Philadelphia,Pennsylvania,19104,43,
150,2021-05-20 20:47:13,115.78,7549 Utah Center,Washington,District of Columbia,20414,375,
151,2021-05-21 03:46:45,51.96000000000001,43 Maryland Parkway,Kansas City,Missouri,64109,386,
152,2021-05-21 11:56:06,124.4,76 Haas Parkway,Dallas,Texas,75265,54,
153,2021-05-21 19:49:01,557.82,44 Vernon Crossing,Decatur,Georgia,30089,371,
154,2021-05-21 22:34:07,223.56,958 Clove Alley,New York City,New York,10280,173,
155,2021-05-22 11:01:50,519.88,26519 Division Drive,Miami,Florida,33175,91,
156,2021-05-23 02:20:37,1429.92,0 Annamark Trail,Boston,Massachusetts,2119,321,
157,2021-05-23 13:13:29,54.900000000000006,4 Old Gate Plaza,Tacoma,Washington,98424,415,
158,2021-05-23 17:58:26,682.3000000000002,0197 Cascade Street,Alpharetta,Georgia,30022,66,
159,2021-05-24 00:35:18,209.74156000000002,58080 Brown Park,Baton Rouge,Louisiana,70826,455,42
160,2021-05-24 08:40:57,2703.94,21 Kim Avenue,Ocala,Florida,34474,246,
161,2021-05-24 23:46:45,941.3200000000002,52 Starling Drive,South Bend,Indiana,46620,221,
162,2021-05-25 13:47:43,859.8,9462 Meadow Ridge Alley,Hollywood,Florida,33023,114,
163,2021-05-25 22:33:12,489.72,8243 Eastlawn Center,Appleton,Wisconsin,54915,189,
164,2021-05-25 23:17:10,261.20000000000005,46 David Terrace,Irvine,California,92612,71,
165,2021-05-26 08:43:22,1636.6000000000001,7277 Rutledge Circle,Manchester,New Hampshire,3105,14,
166,2021-05-26 09:31:24,438.67999999999995,49417 High Crossing Parkway,Tacoma,Washington,98405,416,
167,2021-05-26 15:35:51,43.94,25332 Service Hill,Dallas,Texas,75310,232,
168,2021-05-26 16:04:35,649.7400000000001,51 Randy Crossing,Brooklyn,New York,11220,25,
169,2021-05-26 19:49:41,554.86,45904 Iowa Hill,Falls Church,Virginia,22047,290,
170,2021-05-27 08:04:18,55.96,6 Lyons Center,Indianapolis,Indiana,46278,288,
171,2021-05-27 20:49:58,668.6800000000001,46483 Dottie Hill,Houston,Texas,77085,311,
172,2021-05-28 04:11:47,113.4,712 Moose Drive,Philadelphia,Pennsylvania,19125,10,
173,2021-05-28 04:40:41,211.84,7292 American Ash Avenue,Inglewood,California,90305,218,
174,2021-05-28 16:50:23,295.92,4 Bartillon Terrace,Greensboro,North Carolina,27425,408,
175,2021-05-29 06:39:12,483.94,0084 Sachs Terrace,Apache Junction,Arizona,85219,64,
176,2021-05-29 18:50:11,60.0,6588 Burrows Crossing,Boston,Massachusetts,2124,294,
177,2021-05-30 09:34:13,184.64280000000002,980 Springview Trail,Louisville,Kentucky,40205,163,77
178,2021-05-30 17:04:40,1012.0800000000002,4601 Stang Point,Memphis,Tennessee,38119,332,
179,2021-05-31 03:30:02,1955.9,404 Glendale Junction,Washington,District of Columbia,20442,51,
180,2021-05-31 14:21:43,158.9,04 Kinsman Junction,Baton Rouge,Louisiana,70820,128,
181,2021-05-31 21:52:01,518.5999999999999,228 Utah Road,Atlanta,Georgia,30316,299,
182,2021-06-01 12:26:36,98.94,87 Eliot Parkway,Grand Rapids,Michigan,49560,431,
183,2021-06-01 12:52:44,678.7579999999999,8674 Acker Alley,Independence,Missouri,64054,121,129
184,2021-06-01 22:08:00,797.74,0 Annamark Trail,Boston,Massachusetts,2119,321,
185,2021-06-01 23:17:04,287.72,0 Elmside Court,New York City,New York,10004,225,
186,2021-06-02 15:31:55,764.1999999999999,4 Granby Park,Monticello,Minnesota,55590,133,
187,2021-06-02 20:16:05,5801.739999999999,3 Fordem Pass,Kansas City,Missouri,64136,346,
188,2021-06-03 10:49:13,2770.46,7736 Texas Terrace,Aurora,Colorado,80015,405,
189,2021-06-03 15:22:28,321.76,992 Cascade Junction,Baltimore,Maryland,21239,94,
190,2021-06-04 06:25:49,477.31999999999994,08 Eastlawn Parkway,Escondido,California,92030,480,
191,2021-06-04 13:39:08,1204.64,459 Old Shore Lane,Boise,Idaho,83711,141,
192,2021-06-05 01:19:57,417.22,76243 Pepper Wood Pass,Dallas,Texas,75216,78,
193,2021-06-05 17:38:35,291.28000000000003,4053 Homewood Road,Hartford,Connecticut,6183,421,
194,2021-06-05 19:23:21,4297.9800000000005,5037 Bowman Crossing,Salt Lake City,Utah,84170,175,
195,2021-06-06 11:55:04,59.94,0 Golf Course Circle,El Paso,Texas,79950,171,
196,2021-06-07 03:50:19,107.44,701 Gateway Drive,Aurora,Colorado,80015,385,
197,2021-06-07 06:10:27,3193.54,36 Pawling Junction,Orlando,Florida,32885,357,
198,2021-06-07 15:36:47,818.26,17 3rd Place,Phoenix,Arizona,85062,305,
199,2021-06-07 23:19:35,602.22228,28 Lukken Circle,Columbia,South Carolina,29220,404,170
200,2021-06-08 10:31:34,1520.8000000000002,83957 Green Junction,Akron,Ohio,44329,276,
201,2021-06-08 20:20:40,282.78650000000005,645 Ronald Regan Road,Abilene,Texas,79605,370,102
202,2021-06-08 20:30:43,693.02,86165 Butterfield Junction,Metairie,Louisiana,70033,107,
203,2021-06-08 21:26:59,5061.36,9026 Myrtle Lane,Moreno Valley,California,92555,13,
204,2021-06-09 11:43:22,1481.9,7736 Texas Terrace,Aurora,Colorado,80015,405,
205,2021-06-10 03:00:34,743.8199999999999,43 Wayridge Street,Garland,Texas,75049,394,
206,2021-06-10 10:15:18,243.1,838 Express Junction,Dayton,Ohio,45454,438,
207,2021-06-10 12:43:41,650.5,312 Luster Drive,Waterloo,Iowa,50706,310,
208,2021-06-10 15:58:32,42.6,6 Saint Paul Avenue,Daytona Beach,Florida,32118,314,
209,2021-06-11 01:42:49,53.124480000000005,93906 Old Shore Junction,Washington,District of Columbia,20067,364,164
210,2021-06-11 02:00:52,320.0,70 Golf Course Drive,Roanoke,Virginia,24040,199,
211,2021-06-11 13:40:02,2462.0400000000004,5233 Fremont Way,Riverside,California,92505,243,
212,2021-06-11 18:16:06,173.86,4 Northfield Place,Louisville,Kentucky,40298,39,
213,2021-06-12 03:39:15,1061.72,903 Red Cloud Pass,Jeffersonville,Indiana,47134,377,
214,2021-06-12 19:40:38,229.66,3 Northland Parkway,Tampa,Florida,33633,159,
215,2021-06-13 01:52:04,488.12,2 Butternut Point,Kansas City,Missouri,64187,186,
216,2021-06-13 13:05:14,311.82000000000005,40 Moulton Parkway,Ashburn,Virginia,22093,446,
217,2021-06-13 19:33:09,6939.3,57878 Nevada Alley,Irvine,California,92717,350,
218,2021-06-14 00:26:11,663.0854400000001,27915 Emmet Street,Wichita Falls,Texas,76305,336,59
219,2021-06-14 08:29:02,218.90000000000003,6 Stone Corner Parkway,Shawnee Mission,Kansas,66276,170,
220,2021-06-14 13:16:29,336.08,52 Valley Edge Hill,Clearwater,Florida,34629,259,
221,2021-06-15 04:13:12,5.728520000000001,0 Surrey Road,Greenville,South Carolina,29615,219,93
222,2021-06-15 12:26:45,398.2924,7778 Springview Crossing,Rochester,New York,14683,353,28
223,2021-06-16 03:06:29,729.7018400000001,3616 Old Shore Avenue,New York City,New York,10270,8,146
224,2021-06-16 08:07:41,708.48,36 Heffernan Court,Reading,Pennsylvania,19610,297,
225,2021-06-16 17:59:39,178.4,30625 Pankratz Park,Atlanta,Georgia,30340,349,
226,2021-06-16 22:18:30,2176.76,93906 Old Shore Junction,Washington,District of Columbia,20067,364,
227,2021-06-17 07:26:15,245.88000000000005,50055 Ramsey Crossing,Jacksonville,Florida,32236,291,
228,2021-06-17 20:25:16,1338.1428,805 Warbler Junction,Vienna,Virginia,22184,201,143
229,2021-06-17 23:38:52,76.22,2 Northview Avenue,Toledo,Ohio,43635,474,
230,2021-06-18 07:34:32,129.9,5 Maywood Lane,Charleston,West Virginia,25331,9,
231,2021-06-18 22:55:05,186.2,6529 Northfield Park,Oklahoma City,Oklahoma,73147,59,172
232,2021-06-19 04:45:32,3248.84,2 Saint Paul Street,Knoxville,Tennessee,37919,445,
233,2021-06-19 09:49:03,3665.4,25 Pierstorff Place,New Orleans,Louisiana,70174,329,
234,2021-06-19 16:34:55,998.6000000000001,28 Bluestem Avenue,Henderson,Nevada,89012,401,
235,2021-06-20 05:25:37,1724.14,22737 Grover Crossing,New York City,New York,10155,169,
236,2021-06-20 11:21:06,159.9,07869 Crowley Parkway,Honolulu,Hawaii,96810,145,
237,2021-06-21 00:35:19,757.2381600000001,9 Eagle Crest Court,Salt Lake City,Utah,84115,205,145
238,2021-06-21 02:46:12,5879.999999999999,4347 Bluestem Junction,Montgomery,Alabama,36177,319,
239,2021-06-21 07:06:27,1210.3200000000002,024 Ronald Regan Hill,Houston,Texas,77075,271,
240,2021-06-21 15:24:36,292.47720000000004,41901 Prairieview Park,Huntsville,Alabama,35895,12,148
241,2021-06-22 05:17:32,709.536,2 Stang Alley,Charlotte,North Carolina,28256,287,95
242,2021-06-22 07:27:50,346.94000000000005,17 Ronald Regan Terrace,Miami,Florida,33129,479,
243,2021-06-22 09:09:52,1641.6713000000002,707 Mcguire Way,Lees Summit,Missouri,64082,250,183
244,2021-06-22 23:57:32,414.68000000000006,4 Doe Crossing Circle,New Haven,Connecticut,6538,304,
245,2021-06-23 02:17:16,538.3000000000001,645 Ronald Regan Road,Abilene,Texas,79605,370,
246,2021-06-23 17:44:45,1390.5800000000002,589 Dovetail Crossing,Yakima,Washington,98907,433,
247,2021-06-23 22:08:57,483.40000000000003,26519 Division Drive,Miami,Florida,33175,91,
248,2021-06-24 08:37:58,784.12,56985 Texas Plaza,Louisville,Kentucky,40225,70,
249,2021-06-24 23:24:00,506.00000000000006,26385 Summit Point,Dayton,Ohio,45408,1,
250,2021-06-25 12:09:17,735.9200000000001,4 Doe Crossing Circle,New Haven,Connecticut,6538,304,
251,2021-06-25 22:36:54,4176.5199999999995,332 Monterey Lane,Philadelphia,Pennsylvania,19160,117,
252,2021-06-26 02:19:24,435.2200000000001,59 Dunning Court,Chicago,Illinois,60657,443,
253,2021-06-26 18:35:48,4856.400000000001,49417 High Crossing Parkway,Tacoma,Washington,98405,416,
254,2021-06-27 02:33:03,486.58000000000004,100 Reindahl Pass,Winston Salem,North Carolina,27157,110,
255,2021-06-27 17:08:45,661.44,91 Vidon Court,New York City,New York,10270,382,
256,2021-06-28 06:00:07,474.4,8 Fisk Center,Bethesda,Maryland,20816,196,
257,2021-06-28 16:50:39,1109.66,8872 Hoard Center,Nashville,Tennessee,37245,202,
258,2021-06-28 18:41:14,281.1000000000001,1 Oak Valley Crossing,San Bernardino,California,92405,277,
259,2021-06-29 02:06:29,529.0930000000001,4 Walton Point,Denver,Colorado,80235,52,95
260,2021-06-29 14:16:32,221.01999999999998,639 Debs Crossing,Wichita,Kansas,67215,471,
261,2021-06-29 19:01:47,869.2,992 Cascade Junction,Baltimore,Maryland,21239,94,
262,2021-06-30 06:46:46,558.5400000000001,0436 Reindahl Point,Louisville,Kentucky,40215,325,
263,2021-06-30 10:44:36,483.0,45 Golf Court,Virginia Beach,Virginia,23464,468,
264,2021-06-30 12:55:43,269.90000000000003,42503 Nancy Terrace,Saint Paul,Minnesota,55115,396,
265,2021-07-01 00:22:04,186.75996,323 Morningstar Circle,Las Vegas,Nevada,89105,143,25
266,2021-07-01 01:13:39,648.36,9462 Meadow Ridge Alley,Hollywood,Florida,33023,114,
267,2021-07-01 11:37:14,111.0348,70 Golf Course Drive,Roanoke,Virginia,24040,199,4
268,2021-07-01 19:26:54,3858.75,38964 Nova Terrace,Washington,District of Columbia,20005,330,16
269,2021-07-02 08:11:56,4376.2,6 Johnson Junction,Dayton,Ohio,45440,38,
270,2021-07-02 14:11:57,520.78,73879 Forest Dale Court,Washington,District of Columbia,20029,442,
271,2021-07-02 21:08:06,256.9,6180 Sunbrook Hill,Washington,District of Columbia,20319,112,
272,2021-07-03 01:48:02,353.84000000000003,7176 1st Alley,Frankfort,Kentucky,40618,131,
273,2021-07-03 13:52:13,11.79324,228 Utah Road,Atlanta,Georgia,30316,299,180
274,2021-07-03 14:10:31,217.1,9371 Eliot Circle,Richmond,Virginia,23220,399,
275,2021-07-04 05:28:31,79.92,9 Dennis Hill,Wilkes Barre,Pennsylvania,18768,293,
276,2021-07-04 08:15:37,4071.44,234 Ohio Terrace,Oklahoma City,Oklahoma,73114,183,
277,2021-07-04 14:10:23,1643.3034600000005,2922 Hollow Ridge Way,Oklahoma City,Oklahoma,73124,46,48
278,2021-07-04 15:02:45,188.0,8 North Junction,Los Angeles,California,90040,45,
279,2021-07-04 18:28:09,328.4,107 Mendota Street,El Paso,Texas,79916,432,
280,2021-07-04 21:56:18,415.64,7176 1st Alley,Frankfort,Kentucky,40618,131,
281,2021-07-05 14:28:32,84.8656,050 Glendale Park,Biloxi,Mississippi,39534,359,32
282,2021-07-06 06:32:11,1502.9,57 Kenwood Park,Chicago,Illinois,60630,268,
283,2021-07-06 22:11:06,2842.9800000000005,2375 Barby Center,Tyler,Texas,75799,292,
284,2021-07-07 01:10:16,685.26,9 Lyons Avenue,Orlando,Florida,32808,35,
285,2021-07-07 12:34:53,444.08,777 Merchant Way,Springfield,Illinois,62794,28,
286,2021-07-07 17:41:01,1295.92,56985 Texas Plaza,Louisville,Kentucky,40225,70,
287,2021-07-08 04:40:42,192.7,7549 Utah Center,Washington,District of Columbia,20414,375,
288,2021-07-08 18:05:58,15.96,050 Glendale Park,Biloxi,Mississippi,39534,359,
289,2021-07-08 19:03:01,51.96,0197 Cascade Street,Alpharetta,Georgia,30022,66,
